time,SMControlTest.done,SMControlTest.s[3:0],SMControlTest.rsshr,SMControlTest.rsload,SMControlTest.rsclear,SMControlTest.n[3:0],SMControlTest.mrld,SMControlTest.mdld,SMControlTest.NUM_BITS,SMControlTest.clk,SMControlTest.errors[7:0],SMControlTest.mr[3:0],SMControlTest.reset_state[3:0],SMControlTest.rst,SMControlTest.start,SMControlTest.multiplier[31:0],SMControlTest.rs[31:0],SMControlTest.st[31:0],SMControlTest.control.clk,SMControlTest.control.done,SMControlTest.control.mdld,SMControlTest.control.mr[3:0],SMControlTest.control.mrld,SMControlTest.control.reset_state[3:0],SMControlTest.control.rsclear,SMControlTest.control.rsload,SMControlTest.control.rsshr,SMControlTest.control.rst,SMControlTest.control.start,SMControlTest.control.n[3:0],SMControlTest.control.s[3:0]
2940,z,0,0,0,0,0,0,0,100,1,0,1010,0,0,0,1010,0,0,1,z,0,1010,0,0,0,0,0,0,0,0,0
2960,z,0,0,0,0,0,0,0,100,0,0,1010,0,0,0,1010,0,1,0,z,0,1010,0,0,0,0,0,0,0,0,0
2990,z,0,0,0,0,1,0,0,100,0,0,1010,0,0,1,1010,0,1,0,z,0,1010,0,0,0,0,0,0,1,1,0
3010,z,0,0,0,0,1,0,0,100,0,0,1010,0,1,1,1010,0,1,0,z,0,1010,0,0,0,0,0,1,1,1,0
3030,z,0,0,0,0,1,0,0,100,1,0,1010,0,1,1,1010,0,1,1,z,0,1010,0,0,0,0,0,1,1,1,0
3080,z,1,0,0,1,10,1,1,100,1,0,1010,0,0,1,1010,0,1,1,z,1,1010,1,0,1,0,0,0,1,10,1
3090,z,1,0,0,1,10,1,1,100,0,0,1010,0,0,1,1010,0,1,0,z,1,1010,1,0,1,0,0,0,1,10,1
3100,z,1,0,0,1,10,1,1,100,0,0,1010,0,0,1,1011,0,0,0,z,1,1010,1,0,1,0,0,0,1,10,1
3110,z,1,0,0,1,10,1,1,100,0,0,1011,0,0,1,1011,0,0,0,z,1,1011,1,0,1,0,0,0,1,10,1
3130,z,1,0,0,1,10,1,1,100,0,0,1011,0,0,0,1011,0,0,0,z,1,1011,1,0,1,0,0,0,0,10,1
3150,z,1,0,0,1,10,1,1,100,0,0,1011,0,1,0,1011,0,0,0,z,1,1011,1,0,1,0,0,1,0,10,1
3170,z,0,0,0,0,0,0,0,100,1,0,1011,0,1,0,1011,0,0,1,z,0,1011,0,0,0,0,0,1,0,0,0
3180,z,0,0,0,0,0,0,0,100,0,0,1011,0,1,0,1011,0,0,0,z,0,1011,0,0,0,0,0,1,0,0,0
3200,z,0,0,0,0,0,0,0,100,0,0,1011,0,0,0,1011,0,0,0,z,0,1011,0,0,0,0,0,0,0,0,0
3220,z,0,0,0,0,0,0,0,100,1,0,1011,0,0,0,1011,0,0,1,z,0,1011,0,0,0,0,0,0,0,0,0
3240,z,0,0,0,0,0,0,0,100,0,0,1011,0,0,0,1011,0,1,0,z,0,1011,0,0,0,0,0,0,0,0,0
3270,z,0,0,0,0,1,0,0,100,0,0,1011,0,0,1,1011,0,1,0,z,0,1011,0,0,0,0,0,0,1,1,0
3290,z,0,0,0,0,1,0,0,100,0,0,1011,0,1,1,1011,0,1,0,z,0,1011,0,0,0,0,0,1,1,1,0
3310,z,0,0,0,0,1,0,0,100,1,0,1011,0,1,1,1011,0,1,1,z,0,1011,0,0,0,0,0,1,1,1,0
3360,z,1,0,0,1,10,1,1,100,1,0,1011,0,0,1,1011,0,1,1,z,1,1011,1,0,1,0,0,0,1,10,1
3370,z,1,0,0,1,10,1,1,100,0,0,1011,0,0,1,1011,0,1,0,z,1,1011,1,0,1,0,0,0,1,10,1
3380,z,1,0,0,1,10,1,1,100,0,0,1011,0,0,1,1100,0,0,0,z,1,1011,1,0,1,0,0,0,1,10,1
3390,z,1,0,0,1,10,1,1,100,0,0,1100,0,0,1,1100,0,0,0,z,1,1100,1,0,1,0,0,0,1,10,1
3410,z,1,0,0,1,10,1,1,100,0,0,1100,0,0,0,1100,0,0,0,z,1,1100,1,0,1,0,0,0,0,10,1
3430,z,1,0,0,1,10,1,1,100,0,0,1100,0,1,0,1100,0,0,0,z,1,1100,1,0,1,0,0,1,0,10,1
3450,z,0,0,0,0,0,0,0,100,1,0,1100,0,1,0,1100,0,0,1,z,0,1100,0,0,0,0,0,1,0,0,0
3460,z,0,0,0,0,0,0,0,100,0,0,1100,0,1,0,1100,0,0,0,z,0,1100,0,0,0,0,0,1,0,0,0
3480,z,0,0,0,0,0,0,0,100,0,0,1100,0,0,0,1100,0,0,0,z,0,1100,0,0,0,0,0,0,0,0,0
3500,z,0,0,0,0,0,0,0,100,1,0,1100,0,0,0,1100,0,0,1,z,0,1100,0,0,0,0,0,0,0,0,0
