time,SMControlTest.s[3:0],SMControlTest.rsshr,SMControlTest.rsload,SMControlTest.rsclear,SMControlTest.n[3:0],SMControlTest.mrld,SMControlTest.mdld,SMControlTest.done,SMControlTest.NUM_BITS,SMControlTest.clk,SMControlTest.errors[7:0],SMControlTest.mr[3:0],SMControlTest.reset_state[3:0],SMControlTest.rst,SMControlTest.start,SMControlTest.multiplier[31:0],SMControlTest.rs[31:0],SMControlTest.st[31:0],SMControlTest.control.clk,SMControlTest.control.done,SMControlTest.control.mdld,SMControlTest.control.mr[3:0],SMControlTest.control.mrld,SMControlTest.control.reset_state[3:0],SMControlTest.control.rsclear,SMControlTest.control.rsload,SMControlTest.control.rsshr,SMControlTest.control.rst,SMControlTest.control.start,SMControlTest.control.n[3:0],SMControlTest.control.s[3:0]
2390,0,0,0,0,0,0,0,0,100,0,0,1000,0,0,0,1000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
2400,0,0,0,0,0,0,0,0,100,0,0,1000,0,0,0,1000,0,1,0,0,0,1000,0,0,0,0,0,0,0,0,0
2430,0,0,0,0,1,0,0,0,100,0,0,1000,0,0,1,1000,0,1,0,0,0,1000,0,0,0,0,0,0,1,1,0
2450,0,0,0,0,1,0,0,0,100,0,0,1000,0,1,1,1000,0,1,0,0,0,1000,0,0,0,0,0,1,1,1,0
2470,0,0,0,0,1,0,0,0,100,1,0,1000,0,1,1,1000,0,1,1,0,0,1000,0,0,0,0,0,1,1,1,0
2480,0,0,0,0,1,0,0,0,100,0,0,1000,0,1,1,1000,0,1,0,0,0,1000,0,0,0,0,0,1,1,1,0
2500,0,0,0,0,1,0,0,0,100,0,0,1000,0,0,1,1000,0,1,0,0,0,1000,0,0,0,0,0,0,1,1,0
2520,1,0,0,1,10,1,1,0,100,1,0,1000,0,0,1,1000,0,1,1,0,1,1000,1,0,1,0,0,0,1,10,1
2530,1,0,0,1,10,1,1,0,100,0,0,1000,0,0,1,1000,0,1,0,0,1,1000,1,0,1,0,0,0,1,10,1
2540,1,0,0,1,10,1,1,0,100,0,0,1000,0,0,1,1001,0,0,0,0,1,1000,1,0,1,0,0,0,1,10,1
2550,1,0,0,1,10,1,1,0,100,0,0,1001,0,0,1,1001,0,0,0,0,1,1001,1,0,1,0,0,0,1,10,1
2570,1,0,0,1,10,1,1,0,100,0,0,1001,0,0,0,1001,0,0,0,0,1,1001,1,0,1,0,0,0,0,10,1
2590,1,0,0,1,10,1,1,0,100,0,0,1001,0,1,0,1001,0,0,0,0,1,1001,1,0,1,0,0,1,0,10,1
2610,0,0,0,0,0,0,0,0,100,1,0,1001,0,1,0,1001,0,0,1,0,0,1001,0,0,0,0,0,1,0,0,0
